score	X_name	y_name
0.4730321836018468	SC	affect
0.5467203780003687	SC	affect
0.04545275757614365	SC	affect
0.33430058016562264	SC	affect
0.290091153812632	SC	affect
0.6093687299218066	SC	affect
0.41486284245834404	SC	affect
0.5572380617329575	SC	affect
0.33489619600163	SC	affect
0.3144464345824219	SC	affect
0.3189723296708125	SC	affect
0.4537923430828725	SC	affect
0.334580760722925	SC	affect
0.4171009069382751	SC	affect
0.4121139478477691	SC	affect
0.27218752144269637	SC	affect
0.48272647558044657	SC	affect
0.36456155944892576	SC	affect
0.6573281041674858	SC	affect
0.5554780382716564	SC	affect
0.374161793235785	SC	affect
0.5539182000372348	SC	affect
0.7242715553740349	SC	affect
0.3384029301564866	SC	affect
0.46072003252642013	SC	affect
0.22472295529566166	SC	affect
0.5313684701817778	SC	affect
0.1316517979165326	SC	affect
0.4370249542190473	SC	affect
0.4297387982052104	SC	affect
0.3840206512945441	SC	affect
0.6373658354742172	SC	affect
0.5235777679643585	SC	affect
0.4452843703192424	SC	affect
0.6043956033295922	SC	affect
0.5679464285813228	SC	affect
0.4831760581519132	SC	affect
0.5727700318061394	SC	affect
-0.012724238903888617	SC	affect
0.37363513442223395	SC	affect
0.3890537040112048	SC	affect
0.48154020006859355	SC	affect
0.4758612369846062	FC	social
0.4324177175999775	FC	social
0.4730863575473794	FC	social
0.15258891208924302	FC	social
-0.16387698555746877	FC	social
0.17315570915024936	FC	social
0.15338499099483185	FC	social
0.6359665634555255	FC	social
0.5910839914054036	FC	social
0.2924573885085376	FC	social
0.4819938785025527	FC	social
0.47179280385146044	FC	social
-0.15444430046059773	FC	social
-0.3223924898803141	FC	social
0.33998710457989695	FC	social
0.3760975062075492	FC	social
-0.1279725356123028	FC	social
0.26176370360972995	FC	social
0.37479024457357474	FC	social
0.5617612319271391	FC	social
-0.0019067428473470874	FC	social
0.4603805596248554	FC	social
0.22097613576203334	FC	social
0.5204193126209253	FC	social
0.5573447562351512	FC	social
0.4545425586874237	FC	social
-0.45806049808974514	FC	social
0.042052360104465523	FC	social
0.1857715481043454	FC	social
0.546899483143625	FC	social
0.61775739821604	FC	social
0.11398943065927415	FC	social
0.22857341493215708	FC	social
0.6113473563693066	FC	social
0.27683682230684925	FC	social
0.3600517252692015	FC	social
0.528859163948164	FC	social
0.24739663600249034	FC	social
-0.252624266675045	FC	valuation
0.22090715626072707	FC	valuation
0.34545479188236966	FC	valuation
0.31849758749903806	FC	valuation
0.5198151732389512	FC	valuation
-0.3069605164486276	FC	valuation
-0.0781776820745366	FC	valuation
0.2513455781096454	FC	valuation
0.08632615075516374	FC	valuation
0.26291655759157706	FC	valuation
0.1111409722623569	FC	valuation
-0.03229058934874008	FC	valuation
-0.3831198603151651	FC	valuation
0.00875978313351512	FC	valuation
0.39459506984065557	FC	valuation
0.03020200259019522	FC	valuation
0.06456808498202994	FC	valuation
-0.10146841713356361	FC	valuation
-0.16576209775368977	FC	valuation
-0.12244323415897851	FC	valuation
0.43861489438519574	FC	valuation
0.5028644449161697	FC	valuation
0.44840623214930636	FC	valuation
0.09339882884672568	FC	valuation
0.12722447463929998	FC	valuation
0.2870836165137802	FC	valuation
-0.057482329784210286	FC	valuation
0.2192018040759521	FC	valuation
-0.3613545434624083	FC	valuation
0.05944672339346286	FC	valuation
0.09112592123806144	FC	valuation
0.16041307363222673	FC	valuation
0.08879056482817932	FC	valuation
0.04596611951820635	FC	valuation
0.36170235144941154	FC	valuation
0.6223500782991008	FC	affect
0.5094126592767663	FC	affect
0.24539697596304674	FC	affect
0.14670653300845368	FC	affect
0.35551148745897215	FC	affect
0.5013149510119229	FC	affect
0.5936945666561012	FC	affect
0.2044506433928525	FC	affect
0.19474508895673073	FC	affect
0.031188609590881704	FC	affect
0.32952181077456233	FC	affect
0.40823453755431216	FC	affect
0.3837696515404348	FC	affect
0.3733608108313826	FC	affect
0.11151595092372214	FC	affect
0.3719435322953818	FC	affect
0.5358051915180168	FC	affect
0.4947454485485653	FC	affect
0.6796187987111012	FC	affect
0.6618845761934459	FC	affect
0.4377241399673525	FC	affect
0.6025675317600869	FC	affect
0.5747659074361726	FC	affect
0.5946113552478051	FC	affect
0.4731445587321546	FC	affect
0.1418434719337154	FC	affect
0.5009504536375002	FC	affect
0.31293701344196306	FC	affect
0.287003926654689	FC	affect
0.5557135856471798	FC	affect
0.5698269523191427	FC	affect
0.7212559002385864	FC	affect
0.2957914509568618	FC	affect
0.4539734048960146	FC	affect
0.7533652570580985	FC	affect
0.6473057865344358	FC	affect
0.5493474128862375	FC	affect
0.5759027463428861	FC	affect
-0.153108048629585	FC	affect
0.6763985740476514	FC	affect
0.5720566866017143	FC	affect
0.5389293204718546	FC	affect
