participant_id	n_clusters	silhouette_score	davies_bouldin_score	calinski_harabasz_score
sub-012	2	0.15643047	2.26818460197927	322.9664961345392
sub-012	3	0.15810946	2.2267584144121986	256.6603847507829
sub-012	4	0.11432184	2.414918404748947	214.1867475377668
sub-012	5	0.10387448	2.4707198809707065	188.30776054284308
sub-012	6	0.09575989	2.3282998974589453	172.93489507982187
sub-013	2	0.14708348	2.197000105626526	335.6019236135264
sub-013	3	0.15683874	2.3436302915010336	271.8268091859369
sub-013	4	0.13623337	2.060964133907282	250.19742801361733
sub-013	5	0.11455467	2.037099145316958	224.8684220608965
sub-013	6	0.115053155	2.10851406487741	202.9751301782103
sub-014	2	0.2011215	2.2929156990472914	324.007754916406
sub-014	3	0.19254768	2.0361288008079783	281.4060536023798
sub-014	4	0.13989401	1.9492797197111689	274.5190779216179
sub-014	5	0.11866715	2.07186121124239	232.2824825639396
sub-014	6	0.12789351	2.273083806943799	205.06095412868345
sub-015	2	0.18426798	1.9451104684619431	424.6889213489056
sub-015	3	0.15329431	2.281506398206394	312.6372571515189
sub-015	4	0.14974783	2.1684001929315304	266.40504703742545
sub-015	5	0.14491385	2.2345258981157183	226.39617143032683
sub-015	6	0.13504991	2.3164455508745663	203.4171364823677
sub-016	2	0.22143039	1.8375355966708304	497.7571070068701
sub-016	3	0.17655438	2.1435181768138496	356.0694389906214
sub-016	4	0.16342413	1.9667682531617277	299.59491500669645
sub-016	5	0.11254386	2.0306467536393487	269.5183718194019
sub-016	6	0.12261384	2.083879276453327	249.89693513613528
sub-017	2	0.24049535	1.6046331423459923	618.7627775918847
sub-017	3	0.18879777	1.9437083621097428	460.9261956069376
sub-017	4	0.1940579	1.804140641649456	384.4039949728072
sub-017	5	0.19295001	1.8590040921380904	341.7463639426954
sub-017	6	0.1857714	1.7526398616686738	321.9387259479496
sub-018	2	0.29610473	1.5825901239507798	584.7417936285274
sub-018	3	0.21580483	1.9725795581713448	433.55717102032577
sub-018	4	0.16422573	1.973929605161406	357.43232042391446
sub-018	5	0.15347382	1.8838192341381563	313.4372355536764
sub-018	6	0.13290563	1.926804447615278	280.035613477166
sub-019	2	0.214226	1.868731249511451	457.4708069229151
sub-019	3	0.14837718	1.9703418298852495	356.526103654946
sub-019	4	0.13409947	1.941900561202294	304.6895971489495
sub-019	5	0.14270383	2.0397832049818487	275.9007767223304
sub-019	6	0.14631544	1.986032254477446	249.82338177413897
sub-020	2	0.16004646	2.0330844177997336	357.67690706423554
sub-020	3	0.16192374	2.0425847894932176	325.0750884143893
sub-020	4	0.15018287	2.064727818622173	272.5640100230433
sub-020	5	0.12581697	2.170829278840522	236.4229757603036
sub-020	6	0.117425874	2.128425995371115	207.10559470594063
sub-021	2	0.21534555	1.93192646687249	437.337639372446
sub-021	3	0.17178033	1.951793613704576	346.689246860848
sub-021	4	0.17091596	1.8533089788615391	329.9686193397781
sub-021	5	0.18290956	1.8207122404507	306.8717167755118
sub-021	6	0.1865827	1.7834341288935949	280.9021584635318
sub-022	2	0.23499557	1.5722064727256877	642.8916253240307
sub-022	3	0.15258324	1.799588299885355	480.9890142901808
sub-022	4	0.13903978	1.981795574289416	395.9631660837212
sub-022	5	0.13300893	1.9005545408329252	355.1616087585824
sub-022	6	0.13436443	1.9509485952354413	317.1903483562608
sub-023	2	0.1853445	2.143294778411727	351.1934446836046
sub-023	3	0.17271793	1.971763227211853	293.33903542625995
sub-023	4	0.16604258	1.90399207354917	281.5411210989864
sub-023	5	0.14591207	1.8726340631838727	252.54150946053028
sub-023	6	0.13532534	2.001448922100018	228.01791698130785
sub-024	2	0.2503985	2.149680312266242	305.33537524948747
sub-024	3	0.16172652	2.194267255525434	253.26223296068733
sub-024	4	0.11340881	2.0416193985054263	232.8280513010413
sub-024	5	0.12253634	2.062679936475757	208.4512972326096
sub-024	6	0.11244062	2.0944188296395025	189.11421050099352
