term,# studies,pAgF,pFgA,pA_given_pF=0.50,pFgA_given_pF=0.50,uniformity-test_z,association-test_z,uniformity-test_z_FDR_0.01,association-test_z_FDR_0.01
choice,326,0.020362993514282043,0.03769397645892912,0.015558937932419713,0.5577107550751343,-8.704964603492805e-16,1.396127364172893,0.4914695557186301,0.53796319205689
depression,502,0.014486718770655,0.05085130935660368,0.012666184595377451,0.5566409767840708,-1.4508274339154675e-17,0.8355592856013776,0.2813179764418513,0.053010281583554565
motivation,189,0.01790677135240688,0.02437734414607161,0.014393601397315743,0.5533144975221465,-2.321323894264748e-16,0.9805539919612288,0.11759065814925,0.0900056386292018
autonomic,117,0.022510612862833384,0.017826474708419502,0.0166943732475484,0.5441839750888006,-2.538948009352068e-16,1.1787086653419867,0.03814842508262459,0.34631734192651425
arousal,295,0.020919528296173245,0.03401568580309786,0.01584195360716105,0.5435646103711815,-7.399219912968883e-16,1.3815625883841611,0.3875557283271378,0.5268803045213203
memory retrieval,228,0.01896330924299007,0.028090212845078174,0.014903666358461468,0.5431977596634159,-8.704964603492805e-17,1.0760074583606354,0.3954128643280609,0.3820398425249715
episodic,488,0.01573130319082168,0.04710361480625663,0.01326843854859507,0.5409160855397287,-6.963971682794244e-16,0.9052441203677092,0.6170210364941624,0.16323274689261633
emotion regulation,247,0.01777325868564686,0.027874982303723112,0.014313585715093302,0.5357695024084944,-3.917234071571762e-16,0.9539162809499476,0.2277725882307833,0.04768089590620329
reinforcement,128,0.022715671260847368,0.018304221156586826,0.016791489094505896,0.5341363251755499,-9.720543807233633e-16,1.1751176443365263,0.14636261934025785,0.33790124762657475
empathy,187,0.016061889046304866,0.022514001516685467,0.01348381695855765,0.5339408696715494,-1.6757056861723652e-15,0.7571905238525818,0.0657399790253204,0.057166928995979714
threat,228,0.01873718241494497,0.026363733234858668,0.014792425645308404,0.5336606209795438,3.917234071571762e-16,1.0505443474548883,0.09419243912417068,0.2711355293306605
alzheimer,267,0.012584766744479049,0.030420164081835493,0.01176354494975152,0.53247142884013,-7.979550886535071e-17,0.5657793772030428,0.0014908833053043536,0.09747468923131852
incentive,148,0.01851813528689486,0.019083603698792303,0.014706229791966513,0.5324075611109482,-4.642647788529496e-16,0.9025930636428529,0.17119460578616727,0.179367242735297
evaluation,394,0.014418679373864731,0.037358347802020984,0.012647191115204943,0.5320490585150572,-1.160661947132374e-16,0.6319823120025946,0.3628522807290885,0.0012333329730761765
